"Tilda UID";Brand;SKU;Mark;Category;Title;Description;Text;Photo;Price;Quantity;"Price Old";Editions;Modifications;"External ID";"Parent UID";Weight;Length;Width;Height;Url
863373436582;;;;Товары;"Приправа для моркови по-корейски";"Приправа для моркови по-корейски";;https://static.tildacdn.com/stor6530-6239-4736-b034-356463333063/55686283.png;287.00;6;;;;5eb36de4-d577-11e4-878b-d850e60c1a0b;;0;0;0;0;https://xn----7sbnkf1eg0g.xn--p1ai/catalog/tproduct/863373436582-priprava-dlya-morkovi-po-koreiski
797373921622;;;;;"Соус Шашлычный (для мяса) Тамаки, 0,47 л.(6шт/уп)";"Соус Шашлычный (для мяса) Тамаки, 0,47 л.(6шт/уп)";;https://static.tildacdn.com/stor6530-6239-4736-b034-356463333063/55686283.png;170.00;0;;;;b0dda4c4-1d61-11ea-968e-9829a63c43dd;;0;0;0;0;https://xn----7sbnkf1eg0g.xn--p1ai/catalog/tproduct/797373921622-sous-shashlichnii-dlya-myasa-tamaki-047
270804120092;;00-00000420;;Топпинги;"Топпинг Шоколадный 1л (6шт/упак)";"Топпинг Шоколадный 1л (6шт/упак)";;https://static.tildacdn.com/stor6263-3838-4038-a231-393034303838/58125104.png;270.00;39;;;;d3568c2f-52ac-11e8-bb47-d850e60c1a0b;;0;0;0;0;https://xn----7sbnkf1eg0g.xn--p1ai/catalog/tproduct/270804120092-topping-shokoladnii-1l-6shtupak
419141251382;;;;;"Чеснок гранулы 26-40";"Чеснок гранулы 26-40";;https://static.tildacdn.com/stor6530-6239-4736-b034-356463333063/55686283.png;425.00;5;;;;649c088b-3318-11ed-80da-18c04dc9ff66;;0;0;0;0;https://xn----7sbnkf1eg0g.xn--p1ai/catalog/tproduct/419141251382-chesnok-granuli-26-40
276734335562;;;;Товары;"Приправа ""Для рыбы""";"Приправа ""Для рыбы""";;https://static.tildacdn.com/stor6530-6239-4736-b034-356463333063/55686283.png;230.00;9;;;;309a1ce6-d714-11e4-878b-d850e60c1a0b;;0;0;0;0;https://xn----7sbnkf1eg0g.xn--p1ai/catalog/tproduct/276734335562-priprava-dlya-ribi
627112825772;;;;;"Горчица семя (желтое)";"Горчица семя (желтое)";;https://static.tildacdn.com/stor6530-6239-4736-b034-356463333063/55686283.png;255.00;24;;;;b26b5574-aa0f-11e8-9677-9829a63c43dd;;0;0;0;0;https://xn----7sbnkf1eg0g.xn--p1ai/catalog/tproduct/627112825772-gorchitsa-semya-zheltoe
839935650642;;UT-00000582;;"Мучная продукция";"Булочка для гамбургера с кунжутом 82ГР 125мм (24 шт/упак)";"Булочка для гамбургера с кунжутом 82ГР 125мм (24 шт/упак)";;https://static.tildacdn.com/stor3466-6664-4662-a262-353766383234/94255223.png;685.00;4;;;;31c06edf-4ca8-11ef-8109-18c04dc9ff66;;0;0;0;0;https://xn----7sbnkf1eg0g.xn--p1ai/catalog/tproduct/839935650642-bulochka-dlya-gamburgera-s-kunzhutom-82g
191891839582;;;;Товары;"Гвоздика целая";"Гвоздика целая";;https://static.tildacdn.com/stor6530-6239-4736-b034-356463333063/55686283.png;1420.00;20;;;;5eb36daa-d577-11e4-878b-d850e60c1a0b;;0;0;0;0;https://xn----7sbnkf1eg0g.xn--p1ai/catalog/tproduct/191891839582-gvozdika-tselaya
564360509802;;;;Товары;"Пажитник молотый";"Пажитник молотый";;https://static.tildacdn.com/stor6530-6239-4736-b034-356463333063/55686283.png;305.00;18;;;;5eb36dc5-d577-11e4-878b-d850e60c1a0b;;0;0;0;0;https://xn----7sbnkf1eg0g.xn--p1ai/catalog/tproduct/564360509802-pazhitnik-molotii
921801643602;;;;;"Форель морская СТЕЙК (5кг/упак)";"Форель морская СТЕЙК (5кг/упак)";;https://static.tildacdn.com/stor6530-6239-4736-b034-356463333063/55686283.png;1250.00;58;;;;81c42fd7-0302-11f0-8120-18c04dc9ff66;;0;0;0;0;https://xn----7sbnkf1eg0g.xn--p1ai/catalog/tproduct/921801643602-forel-morskaya-steik-5kgupak
628703032942;;;;Товары;"Перец белый горошек";"Перец белый горошек";;https://static.tildacdn.com/stor3263-3937-4835-a135-366430343961/87408330.jpg;1800.00;19;;;;5eb36dac-d577-11e4-878b-d850e60c1a0b;;0;0;0;0;https://xn----7sbnkf1eg0g.xn--p1ai/catalog/tproduct/628703032942-perets-belii-goroshek
528555683492;;;;"Специи и приправы";"Перец зеленый горошек";"Перец зеленый горошек";;https://static.tildacdn.com/stor6530-6239-4736-b034-356463333063/55686283.png;2150.00;16;;;;39903069-1842-11e5-ac0a-d850e60c1a0b;;0;0;0;0;https://xn----7sbnkf1eg0g.xn--p1ai/catalog/tproduct/528555683492-perets-zelenii-goroshek
571297247942;;;;;"Мешок д/мусора 240л. 50мкр ПВД 90*123 (10шт/упак)";"Мешок д/мусора 240л. 50мкр ПВД 90*123 (10шт/упак)";;https://static.tildacdn.com/stor6530-6239-4736-b034-356463333063/55686283.png;;10;;;;777dfcb7-84b2-11f0-813a-18c04dc9ff66;;0;0;0;0;https://xn----7sbnkf1eg0g.xn--p1ai/catalog/tproduct/571297247942-meshok-dmusora-240l-50mkr-pvd-90123-10sh
735743210952;;;;;"Чековая лента 57*12 (15м)";"Чековая лента 57*12 (15м)";;https://static.tildacdn.com/stor6530-6239-4736-b034-356463333063/55686283.png;;256;;;;a1bd88e5-84b2-11f0-813a-18c04dc9ff66;;0;0;0;0;https://xn----7sbnkf1eg0g.xn--p1ai/catalog/tproduct/735743210952-chekovaya-lenta-5712-15m
361308397592;;;;;"Чизкейк New York 1,2кг с кокосом(4шт/уп)";"Чизкейк New York 1,2кг с кокосом(4шт/уп)";;https://static.tildacdn.com/stor6530-6239-4736-b034-356463333063/55686283.png;750.00;0;;;;b82caf3f-4c3b-11f0-8134-18c04dc9ff66;;0;0;0;0;https://xn----7sbnkf1eg0g.xn--p1ai/catalog/tproduct/361308397592-chizkeik-new-york-12kg-s-kokosom4shtup
466911843812;;;;;"Пленка пищевая 45х200(10шт/упак)";"Пленка пищевая 45х200(10шт/упак)";;https://static.tildacdn.com/stor6530-6239-4736-b034-356463333063/55686283.png;160.00;10;;;;7834f0d0-5c93-11ec-bd80-d45d64a8ba3c;;0;0;0;0;https://xn----7sbnkf1eg0g.xn--p1ai/catalog/tproduct/466911843812-plenka-pischevaya-45h20010shtupak
997903695282;;;;Товары;"Чеснок гранулы 16-26";"Чеснок гранулы 16-26";;https://static.tildacdn.com/stor6530-6239-4736-b034-356463333063/55686283.png;425.00;100;;;;5eb36dd0-d577-11e4-878b-d850e60c1a0b;;0;0;0;0;https://xn----7sbnkf1eg0g.xn--p1ai/catalog/tproduct/997903695282-chesnok-granuli-16-26
